rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1501822133016911029,,78129,,1501822133,16911029,"""map""",,,1301.64600358,-1753.7626036,-6.01125554256,,0.00522337214387,0.0148928816135,0.585510678896,0.810511050733
1501822133066915988,,78471,,1501822133,66915988,"""map""",,,1301.70946511,-1753.55339857,-6.0158118416,,0.00513591234312,0.0150757633114,0.585513704989,0.810506042566
1501822133116925001,,78902,,1501822133,116925001,"""map""",,,1301.77303542,-1753.34375289,-6.01884601047,,0.00514895246108,0.0152188373268,0.585479632358,0.810527899194
1501822133166922092,,79332,,1501822133,166922092,"""map""",,,1301.84302203,-1753.13765104,-6.02232794307,,0.00517780491024,0.0153770250126,0.585285316509,0.810665057664
1501822133211924076,,79730,,1501822133,211924076,"""map""",,,1301.90019111,-1752.94824867,-6.02573926551,,0.00499896171618,0.0154204007617,0.585175311954,0.810744766188
1501822133261931896,,80118,,1501822133,261931896,"""map""",,,1301.96411822,-1752.7374679,-6.02953796761,,0.00492455040969,0.0154870545016,0.585035303203,0.810844987623
1501822133316937923,,80479,,1501822133,316937923,"""map""",,,1302.04113778,-1752.50890941,-6.0355482083,,0.00496457612046,0.0155865395339,0.584847961463,0.810977974264
1501822133366940021,,80893,,1501822133,366940021,"""map""",,,1302.10567818,-1752.29731191,-6.03914685099,,0.00497136521289,0.0153845896128,0.584779019433,0.811031502693
1501822133411947011,,81287,,1501822133,411947011,"""map""",,,1302.17047284,-1752.1108836,-6.04240483482,,0.00492874437347,0.0150811916998,0.584610530427,0.811158919602
1501822133461945056,,81692,,1501822133,461945056,"""map""",,,1302.23566698,-1751.89839945,-6.04549456304,,0.00489319819921,0.014876639622,0.58455280386,0.811204512872
1501822133516959905,,82135,,1501822133,516959905,"""map""",,,1302.30762899,-1751.66401123,-6.05078333892,,0.00480136515043,0.0147454288894,0.58445156465,0.81128040023
1501822133551980018,,82450,,1501822133,551980018,"""map""",,,1302.35966559,-1751.51834834,-6.05266567779,,0.00467671805666,0.0146745046137,0.584289711207,0.81139898977
1501822133611947059,,82917,,1501822133,611947059,"""map""",,,1302.44436745,-1751.26598976,-6.05635550574,,0.00450130495849,0.0146162544207,0.584044123663,0.811577824349
1501822133671951055,,83305,,1501822133,671951055,"""map""",,,1302.52358675,-1751.00848061,-6.06058692401,,0.00444014816325,0.0145749082721,0.583881423993,0.811695965155
1501822133716955900,,83690,,1501822133,716955900,"""map""",,,1302.58321251,-1750.81498109,-6.06424606407,,0.0046053587488,0.0145899833439,0.583771229668,0.811774029191
1501822133766959905,,84089,,1501822133,766959905,"""map""",,,1302.65556758,-1750.60477544,-6.0705212036,,0.00479528618736,0.0146078576309,0.583553020555,0.811929484578
1501822133801964998,,84403,,1501822133,801964998,"""map""",,,1302.70197377,-1750.45378438,-6.07366673149,,0.00488780463217,0.0145037946926,0.583478261128,0.811984524542
